"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"painful urination (dysuria), frequent urge to urinate, burning sensation, cloudy urine, lower abdominal pressure",Urinary Tract Infection (UTI)
"burning during urination, constant urge to urinate, passing small amounts of urine, foul-smelling urine, pelvic pain",Urinary Tract Infection (UTI)
"frequent urination, intense burning, pain in lower abdomen, dysuria, strong odor urine",Urinary Tract Infection (UTI)
"urge to urinate frequently, painful urination, pressure above pubic bone, cloudy urine, mild fever",Urinary Tract Infection (UTI)
"dysuria, constant urge, burning sensation when passing urine, lower abdominal pain, strong-smelling urine",Urinary Tract Infection (UTI)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"excessive worry (uncontrollable), restlessness, muscle tension, difficulty sleeping, irritability",Generalized Anxiety Disorder (GAD)
"constant worrying, feeling keyed up, chronic muscle tension, sleep disturbance, easily startled",Generalized Anxiety Disorder (GAD)
"persistent anxiety, excessive worry, physical tension, fatigue, concentration problems",Generalized Anxiety Disorder (GAD)
"difficulty controlling worry, restlessness, sleep problems, irritability, muscle aches/soreness",Generalized Anxiety Disorder (GAD)
"uncontrollable worry, muscle tension, constant restlessness, difficulty sleeping, feeling on edge",Generalized Anxiety Disorder (GAD)
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"recurrent severe vertigo, ringing in one ear (tinnitus), fluctuating hearing loss, feeling of ear fullness",Meniere's Disease
"spinning sensation, severe dizziness, tinnitus, hearing loss in one ear, nausea/vomiting during attacks",Meniere's Disease
"vertigo attacks, roaring tinnitus, low-frequency hearing loss, ear pressure, balance problems",Meniere's Disease
"unpredictable vertigo, hearing loss fluctuations, constant tinnitus in one ear, fullness feeling, severe imbalance",Meniere's Disease
"severe dizziness, unilateral hearing loss, persistent ringing in ear, feeling of pressure, recurrent attacks",Meniere's Disease
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"shooting pain down one leg, lower back pain, numbness in leg/foot, pain worsens when sitting, tingling in leg",Sciatica
"severe radiating pain from buttock down leg, lower back discomfort, weakness in foot, burning sensation in leg",Sciatica
"pain starting in lower back, sharp pain shooting down the back of thigh, numbness in the foot, electric shock pain",Sciatica
"low back pain, pain radiating down the leg, weakness in one leg, tingling sensation, difficulty standing/walking",Sciatica
"sharp pain down the leg, numbness in calf, lower back stiffness, pain in the buttock, foot weakness",Sciatica
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy
"sudden weakness on one side of face, facial droop, inability to close one eye, altered taste, facial numbness",Bell's Palsy
"rapid onset facial paralysis, difficulty smiling on one side, inability to control eyelid, pain behind ear",Bell's Palsy
"paralysis of half the face, inability to close the eye, drooling, diminished taste, facial weakness",Bell's Palsy
"one-sided facial droop, sudden loss of muscle control in face, excessive tearing in one eye, numbness",Bell's Palsy
"facial weakness, inability to furrow brow, asymmetrical smile, altered sense of taste, pain behind ear",Bell's Palsy"congestion, throat tickle, stuffy nose, mild body aches, sneezing, shortness of breath",Common Cold (Viral Rhinitis)
"severe lower abdominal cramps, malaise, tenesmus",Ulcerative Colitis (UC)
"unexplained nosebleeds, ringing in ears, occasional severe headache, dizziness",Hypertension
"patches of red inflamed skin, flaking, nausea, silvery scales, nail pitting, persistent itching",Psoriasis
"seeing halos, blurred vision, sudden intense eye pain, vomiting, headache",Glaucoma
"pain radiating down the leg, tingling sensation, low back pain, difficulty standing/walking",Sciatica
"slight cough, runny nose, nasal congestion, sore throat",Common Cold (Viral Rhinitis)
"tingling in thumb index middle fingers, hand weakness, headache, dropping objects",Carpal Tunnel Syndrome (CTS)
"swelling, joint heat, painful walking, redness",Gout
"hair loss, brain fog, weight gain, chronic tiredness, cold sensitivity",Hypothyroidism
"chest pain (non-cardiac), difficulty swallowing, nausea, frequent heartburn, hoarseness",Gastroesophageal Reflux Disease (GERD)
"diarrhea with blood, malaise, tenesmus",Ulcerative Colitis (UC)
"mild fever, urge to urinate frequently, pressure above pubic bone, painful urination, chills, cloudy urine",Urinary Tract Infection (UTI)
"pale skin (pallor), constant fatigue, shortness of breath, cold hands and feet",Anemia
"frequent need to urinate, extreme fatigue, constant thirst, dizziness",Diabetes (Uncontrolled Type 2)
"bloating, diarrhea and constipation alternating, gas, nausea",Irritable Bowel Syndrome (IBS)
"bloody diarrhea, severe abdominal cramps, chest pain, frequent urgent bowel movements",Ulcerative Colitis (UC)
"bloody diarrhea, severe abdominal cramps, frequent urgent bowel movements, weight loss, chest pain",Ulcerative Colitis (UC)
"sore throat, fever, chills, malaise, muscle aches",Influenza (A)
"clear runny nose, sneezing attacks, itchy nose and eyes, nasal congestion",Seasonal Allergic Rhinitis (Hay Fever)
"severe persistent fatigue not improved by rest, post-exertional malaise, difficulty concentrating, sleep disturbances, joint and muscle pain",Chronic Fatigue Syndrome (CFS)
"diarrhea with blood, severe lower abdominal cramps, malaise",Ulcerative Colitis (UC)
"tingling sensation, difficulty standing/walking, low back pain, chills, pain radiating down the leg",Sciatica
"diarrhea with blood, dizziness, malaise, severe lower abdominal cramps, tenesmus",Ulcerative Colitis (UC)
"foot weakness, pain in the buttock, lower back stiffness, numbness in calf, sharp pain down the leg, shortness of breath",Sciatica
"low blood pressure, rapid pulse, very high fever, chills, disorientation",Sepsis
"diarrhea with blood, malaise, tenesmus",Ulcerative Colitis (UC)
"diarrhea with blood, headache, malaise, severe lower abdominal cramps, tenesmus",Ulcerative Colitis (UC)
"weakness in one leg, tingling sensation, difficulty standing/walking, low back pain, pain radiating down the leg",Sciatica
"weak grip, waking up with numb hand, numbness and tingling in fingers, wrist pain, hand pain, headache",Carpal Tunnel Syndrome (CTS)
"unrefreshing sleep, muscle aches, extreme exhaustion, nausea, memory problems",Chronic Fatigue Syndrome (CFS)
"mild fever, pain intensifying in lower right quadrant, loss of appetite, guarding",Appendicitis
"intense headache, visual aura, throbbing pain, sensitivity to sound",Migraine (Classic)
"joint pain (psoriatic arthritis), thick red patches, dry skin, itchy skin, silvery scales",Psoriasis
"seeing halos, blurred vision, sudden intense eye pain, vomiting, red eye",Glaucoma
"inability to control eyelid, rapid onset facial paralysis, difficulty smiling on one side, chest pain, pain behind ear",Bell's Palsy
"unexplained nosebleeds, dizziness, headache, ringing in ears, occasional severe headache",Hypertension
"shortness of breath on exertion, pallor, fast heartbeat, fatigue",Anemia
"visual aura, throbbing pain, sensitivity to sound",Migraine (Classic)
"blurred vision, excessive thirst, frequent urination, fatigue",Diabetes (Uncontrolled Type 2)
"severe dizziness, unilateral hearing loss, dizziness, recurrent attacks, feeling of pressure, persistent ringing in ear",Meniere's Disease
"redness, dry skin, burning sensation, thick scaly patches",Psoriasis
"scaling, dry itchy skin patches, sensitive skin, constant itching, red inflamed skin",Eczema
"symptoms, chest pain",disease
"abdominal pain, weight loss, extreme urgency, bloody stools",Ulcerative Colitis (UC)
"throbbing pain, nausea, neck pain, headache, chest pain, sensitivity to light",Migraine (Classic)
"pelvic pain, constant urge to urinate, burning during urination, foul-smelling urine, passing small amounts of urine",Urinary Tract Infection (UTI)
"waking up with numb hand, weak grip, numbness and tingling in fingers, hand pain",Carpal Tunnel Syndrome (CTS)
"unexplained nosebleeds, ringing in ears, occasional severe headache, dizziness",Hypertension
"swelling, redness, joint heat, sudden severe pain in big toe, painful walking",Gout
"persistent cough, constant wheezing, breathlessness, daily sputum production",Chronic Obstructive Pulmonary Disease (COPD)
"electric shock pain, numbness in the foot, pain starting in lower back, chest pain",Sciatica
"diarrhea and constipation alternating, abdominal pain relieved by bowel movement, dizziness, bloating, gas",Irritable Bowel Syndrome (IBS)
"photosensitivity, joint pain, dizziness, face rash, mouth sores",Systemic Lupus Erythematosus (SLE)
"pain radiating down the leg, weakness in one leg, low back pain, difficulty standing/walking",Sciatica
"blurred vision, facial weakness, inability to furrow brow, pain behind ear, asymmetrical smile",Bell's Palsy
"severe persistent fatigue not improved by rest, joint and muscle pain, post-exertional malaise, sleep disturbances",Chronic Fatigue Syndrome (CFS)
"pounding in chest, no symptoms, brief dizzy spells, persistent headache, nausea, nosebleeds",Hypertension
"feelings of guilt, depressed mood, trouble sleeping, changes in appetite, psychomotor retardation, shortness of breath",Major Depressive Disorder (MDD)
"feelings of guilt, fatigue, depressed mood, trouble sleeping, changes in appetite, psychomotor retardation",Major Depressive Disorder (MDD)
"sneezing attacks, itchy nose and eyes, nasal congestion, clear runny nose, watery eyes",Seasonal Allergic Rhinitis (Hay Fever)
"memory problems, muscle aches, malaise after exertion, unrefreshing sleep",Chronic Fatigue Syndrome (CFS)
"intense headache, visual aura, throbbing pain, sensitivity to sound",Migraine (Classic)
"stomach ache, watery diarrhea, bloody stool, intense cramping",Gastroenteritis (Severe)
"chest pain (non-cardiac), difficulty swallowing, frequent heartburn, shortness of breath, hoarseness",Gastroesophageal Reflux Disease (GERD)
"weak grip, waking up with numb hand, numbness and tingling in fingers, wrist pain, hand pain, headache",Carpal Tunnel Syndrome (CTS)
"nausea, severe lower abdominal cramps, malaise, tenesmus",Ulcerative Colitis (UC)
"weak grip, waking up with numb hand, numbness and tingling in fingers, wrist pain, hand pain",Carpal Tunnel Syndrome (CTS)
"painful urination, mild fever, cloudy urine, pressure above pubic bone",Urinary Tract Infection (UTI)
"shuffling gait, rigid limbs, resting tremor, balance issues, slowness of movement",Parkinson's Disease
"patches of red inflamed skin, flaking, silvery scales, nail pitting, persistent itching",Psoriasis
"unexplained nosebleeds, occasional severe headache, dizziness",Hypertension
"low blood pressure, very high fever, chills, headache, disorientation",Sepsis
"sneezing attacks, itchy nose and eyes, nasal congestion, clear runny nose, watery eyes, shortness of breath",Seasonal Allergic Rhinitis (Hay Fever)
"blurred vision, excessive thirst, slow-healing sores, frequent urination",Diabetes (Uncontrolled Type 2)
"blurred sight, seeing rainbows around light sources, intense eye pain, chest pain, red eye",Glaucoma
"dizziness, nausea, seeing rainbows around light sources, blurred sight, intense eye pain",Glaucoma
"unexplained nosebleeds, ringing in ears, occasional severe headache, dizziness",Hypertension
"pelvic pain, constant urge to urinate, burning during urination, foul-smelling urine, chills, passing small amounts of urine",Urinary Tract Infection (UTI)
"persistent cough, constant wheezing, daily sputum production, difficulty exhaling, chest pain",Chronic Obstructive Pulmonary Disease (COPD)
"vomiting, moving to lower right, low-grade fever, pain starting near belly button",Appendicitis
"rapid shallow breathing, high fever, productive cough, clammy skin, chest pain, sharp chest pain",Pneumonia
"pelvic pain, constant urge to urinate, burning during urination, foul-smelling urine, chest pain",Urinary Tract Infection (UTI)
"congestion, throat tickle, stuffy nose, mild body aches, sneezing",Common Cold (Viral Rhinitis)
"seasonal recurrence, watery discharge, itchy eyes, nasal congestion, sneezing",Seasonal Allergic Rhinitis (Hay Fever)
